Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,"Korea DPR national football team, Korea DPR women's national football team, April 25","[39.0496732, 125.77532151186813]"
2,Michigan Stadium,107601,North America,United States,"Ann Arbor, Michigan",Michigan Wolverines football,"[42.2658652, -83.74868376764053]"
3,Ohio Stadium,102780,North America,United States,"Columbus, Ohio",Ohio State Buckeyes football,"[40.00164575, -83.01973744224524]"
4,Melbourne Cricket Ground,100024,Oceania,Australia,"Melbourne, Victoria","Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC","[-37.819908999999996, 144.98322500667754]"
5,Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",FC Barcelona,"[41.3808046, 2.1158872]"
6,Estadio Azteca,95500,North America,Mexico,Mexico City,"Club América, Cruz Azul, Mexico national football team","[19.302979399999998, -99.1504699525862]"
7,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng","South Africa national football team, Kaizer Chiefs","[-26.234706250000002, 27.98264390042038]"
8,New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,Egypt national football team,Location not found
9,Rose Bowl Stadium,92800,North America,United States,"Pasadena, California",UCLA Bruins,"[34.16134915000001, -118.16766739828785]"
10,Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",No team,"[32.77961185, -96.7596025290281]"
11,Wembley Stadium,90000,Europe,England,"London, England",England national football team,"[51.55606945, -0.27960339379401444]"
12,Lusail Stadium,88966,West Asia,Qatar,Lusail,Qatar national football team,"[25.42152245, 51.48437320749761]"
13,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,Malaysia national football team[13],"[3.0546755, 101.69136903264581]"
14,Borg el-Arab Stadium,86000,Africa,Egypt,Alexandria,"Egypt national football team, Al Ittihad, Smouha","[30.999469599999998, 29.729432153566332]"
15,Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,Real Madrid,"[40.4530225, -3.6874219587470445]"
16,Estadio Mâs Monumental,84567,South America,Argentina,Buenos Aires,"Argentina national football team, River Plate","[-34.54529325, -58.44973852292808]"
17,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales","South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team","[-33.8471082, 151.06338484469373]"
18,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey","New York Giants, New York Jets, United States men's national soccer team","[40.81352375, -74.07340074891175]"
19,Croke Park,82300,Europe,Ireland,Dublin,"Gaelic Athletic Association, Dublin GAA","[53.36035755, -6.2509811826224695]"
